Time	Speed	Strategy	Background	StrategyC	BackgroundC
13.5	8	Med	Rural	M	R
63	4	Low	Urban	L	U
37.7	1	Low	Urban	L	U
17.1	7	Low	Factory	L	F
31.4	7	Low	Factory	L	F
12.6	8	High	Factory	H	F
15.2	9	Med	Urban	M	U
21.4	7	High	Factory	H	F
24.3	7	Med	Rural	M	R
30	8	Low	Rural	L	R
18.8	9	High	Factory	H	F
24.5	9	High	Rural	H	R
19.6	9	Med	Factory	M	F
15.2	8	Med	Factory	M	F
26.9	9	Low	Factory	L	F
19.1	8	Low	Rural	L	R
14.2	9	Med	Rural	M	R
18.1	9	Med	Factory	M	F
29.3	7	Med	Urban	M	U
24.6	7	Low	Factory	L	F
45.5	7	Low	Rural	L	R
26.9	8	Low	Factory	L	F
38.4	9	Low	Factory	L	F
23.6	9	High	Urban	H	U
15.1	9	Low	Urban	L	U
39.4	9	Low	Urban	L	U
26.2	7	Low	Rural	L	R
31.3	8	Med	Rural	M	R
22.7	8	Med	Rural	M	R
28.1	7	Low	Urban	L	U
15.6	7	High	Factory	H	F
24.5	8	Med	Factory	M	F
18.2	8	High	Factory	H	F
19.5	8	High	Factory	H	F
23.8	7	High	Urban	H	U
25.7	8	Low	Factory	L	F
22.7	8	High	Factory	H	F
14.1	9	High	Urban	H	U
24.2	9	High	Rural	H	R
13.8	7	Med	Urban	M	U
16.7	8	High	Rural	H	R
9.9	8	High	Rural	H	R
11.6	9	High	Factory	H	F
45.6	4	Low	Factory	L	F
33.3	5	Med	Urban	M	U
32.4	4	High	Urban	H	U
31.8	5	Low	Factory	L	F
36	4	High	Factory	H	F
21.3	4	High	Factory	H	F
22.7	5	Med	Urban	M	U
36.6	5	Low	Urban	L	U
28	6	Med	Factory	M	F
16.4	6	Med	Urban	M	U
28.3	4	Med	Rural	M	R
25.6	4	Low	Rural	L	R
45.5	5	High	Factory	H	F
35.1	6	Low	Factory	L	F
31.4	6	Low	Urban	L	U
20.9	6	Low	Factory	L	F
31.4	4	Low	Urban	L	U
39.3	4	Low	Urban	L	U
74	5	Low	Rural	L	R
31.7	5	Med	Urban	M	U
45.6	5	Low	Urban	L	U
22.9	6	Low	Rural	L	R
46.4	4	High	Urban	H	U
45.9	4	Med	Urban	M	U
34	5	Med	Urban	M	U
35.9	5	Med	Urban	M	U
47.4	5	Med	Urban	M	U
22.1	6	High	Rural	H	R
37.7	6	High	Rural	H	R
24.1	6	High	Urban	H	U
20.9	5	High	Urban	H	U
21.8	6	High	Factory	H	F
44.2	4	Low	Urban	L	U
95.6	5	Low	Rural	L	R
45.2	5	Low	Factory	L	F
36.4	6	Low	Factory	L	F
48.9	4	Low	Urban	L	U
38.2	5	Med	Urban	M	U
28.9	5	High	Urban	H	U
45.1	6	Low	Rural	L	R
71.5	2	Low	Factory	L	F
42.2	3	Med	Rural	M	R
40.5	3	Med	Rural	M	R
77.4	1	Low	Factory	L	F
41.9	2	High	Urban	H	U
28.9	2	Med	Rural	M	R
53.9	3	Low	Urban	L	U
50	1	Med	Rural	M	R
70.2	1	Low	Factory	L	F
71.5	2	Med	Rural	M	R
51.4	2	Med	Urban	M	U
81.9	1	Low	Rural	L	R
53.9	1	High	Rural	H	R
64.6	1	High	Urban	H	U
31.8	3	Med	Rural	M	R
47.2	3	High	Factory	H	F
31.7	3	Med	Urban	M	U
84.5	2	Low	Factory	L	F
34.2	3	High	Rural	H	R
34.6	3	Med	Rural	M	R
64.7	1	Low	Rural	L	R
58.4	1	High	Urban	H	U
48.7	2	High	Urban	H	U
92.9	2	Med	Factory	M	F
81.1	3	Low	Urban	L	U
87.5	2	Low	Urban	L	U
31.6	3	Med	Rural	M	R
41.4	1	Med	Rural	M	R
76.4	1	Low	Urban	L	U
92.9	1	High	Rural	H	R
51.9	2	Med	Factory	M	F
90.6	3	Low	Urban	L	U
42.1	3	Med	Urban	M	U
53	3	Med	Factory	M	F
61.3	1	Low	Urban	L	U
38.3	1	High	Rural	H	R
56.3	3	High	Urban	H	U
65.5	1	High	Factory	H	F
70.2	3	Med	Urban	M	U
56.4	3	High	Rural	H	R
19.8	7	Med	Rural	M	R
9.9	7	Med	Urban	M	U
14.3	8	Med	Urban	M	U
13.2	9	Med	Urban	M	U
16	7	High	Urban	H	U
12.5	7	Med	Factory	M	F
10.7	7	High	Urban	H	U
11.5	8	Low	Rural	L	R
15.9	9	High	Rural	H	R
15.3	9	Med	Factory	M	F
11.6	9	Low	Urban	L	U
15.8	9	Med	Factory	M	F
17.8	9	Med	Urban	M	U
15.4	7	High	Factory	H	F
6.4	8	High	Urban	H	U
12.2	9	Med	Urban	M	U
28.1	7	Low	Rural	L	R
14.7	7	Low	Urban	L	U
35	7	Low	Rural	L	R
20.5	8	High	Urban	H	U
13.5	9	Low	Factory	L	F
9.4	9	High	Rural	H	R
15.5	7	Med	Factory	M	F
16.8	7	High	Factory	H	F
12.9	8	Med	Urban	M	U
14.9	9	Med	Rural	M	R
11.2	9	Med	Urban	M	U
8.6	9	Med	Urban	M	U
12.9	7	High	Urban	H	U
18.1	8	High	Rural	H	R
